barriada,ano,camp,bebes,ninos,adultos,seniors,desempleo,usuarios,ac01,ad01
BA01,2022,V,251,342,986,156,7.8,1705,5,258
BA02,2022,V,198,166,658,90,14.5,1149,7,225
BA03,2022,V,222,331,900,148,9.6,1579,7,238
BA04,2022,V,171,260,684,119,7.9,1219,5,182
BA05,2022,V,202,309,812,136,8.3,1441,6,215
BA06,2022,V,230,340,939,156,9.2,1634,6,246
BA07,2022,V,134,209,541,90,10.5,983,6,151
BA08,2022,V,246,358,992,165,12,1740,7,260
BA09,2022,V,281,416,1131,186,8.9,1976,6,296
BA10,2022,V,156,243,631,111,8,1143,3,165
BA11,2022,V,274,408,1094,180,7.9,1922,7,281
BA12,2022,V,250,366,1005,164,11,1764,6,270
BA13,2022,V,105,173,452,76,11.2,827,5,120
BA01,2022,O,249,343,981,155,13.8,1730,6,313
BA02,2022,O,190,171,657,90,10.6,1120,4,241
BA03,2022,O,220,333,904,145,11,1590,4,284
BA04,2022,O,173,262,681,117,8.8,1236,5,217
BA05,2022,O,201,303,808,135,10.1,1433,6,251
BA06,2022,O,235,342,941,156,12.4,1669,5,293
BA07,2022,O,130,212,538,90,8.4,978,3,164
BA08,2022,O,249,359,990,165,11.9,1758,7,317
BA09,2022,O,272,411,1125,185,15.3,1983,4,343
BA10,2022,O,159,241,633,113,10.3,1149,4,203
BA11,2022,O,271,406,1091,180,13.9,1943,7,350
BA12,2022,O,257,368,1007,165,13.1,1793,7,324
BA13,2022,O,107,172,452,75,7.5,818,3,141
BA14,2022,O,230,162,980,127,12.8,1502,5,294
BA15,2022,O,252,255,897,79,13,1527,5,318
BA01,2022,I,249,342,984,154,11.8,1721,7,389
BA02,2022,I,190,171,658,92,10.6,1127,3,299
BA03,2022,I,218,332,902,144,11,1585,5,339
BA04,2022,I,175,264,682,118,8.8,1230,4,279
BA05,2022,I,202,302,811,135,10.1,1434,5,322
BA06,2022,I,235,343,944,157,11.4,1660,3,367
BA07,2022,I,130,212,537,90,8.4,977,3,207
BA08,2022,I,248,362,992,166,11.9,1752,5,384
BA09,2022,I,275,412,1127,186,15.3,1999,5,428
BA10,2022,I,161,242,634,113,8.3,1148,3,253
BA11,2022,I,274,408,1092,181,13.9,1947,7,427
BA12,2022,I,255,371,1005,166,12.1,1786,6,402
BA13,2022,I,105,173,450,75,8.5,816,3,169
BA14,2022,I,228,162,978,128,11.8,1504,6,355
BA15,2022,I,253,253,899,80,13,1514,5,401
BA16,2022,I,196,201,986,152,12.9,1536,5,317
BA01,2023,P,250,345,982,154,12.8,1733,5,268
BA02,2023,P,190,171,659,90,8.6,1123,4,203
BA03,2023,P,218,334,903,146,11,1595,5,233
BA04,2023,P,174,260,683,118,8.8,1233,6,188
BA05,2023,P,204,306,808,135,12.1,1449,5,219
BA06,2023,P,238,345,944,155,12.4,1680,3,257
BA07,2023,P,131,215,540,91,8.4,981,5,138
BA08,2023,P,252,361,988,165,13.9,1762,4,278
BA09,2023,P,274,411,1124,186,14.2,1986,7,298
BA10,2023,P,161,242,634,113,8.3,1143,3,173
BA11,2023,P,270,406,1090,180,12.9,1939,6,293
BA12,2023,P,255,368,1009,166,14.1,1805,4,280
BA13,2023,P,108,172,452,75,8.5,825,2,118
BA14,2023,P,230,161,980,128,13.8,1521,4,246
BA15,2023,P,250,255,900,78,11,1501,3,261
BA16,2023,P,196,201,984,154,11.8,1533,5,216
BA01,2023,V,254,343,982,154,13.8,1732,7,278
BA02,2023,V,190,173,657,91,10.6,1135,7,201
BA03,2023,V,216,333,906,148,13.1,1598,7,233
BA04,2023,V,178,262,687,119,10.9,1252,5,198
BA05,2023,V,203,305,807,134,11.1,1447,6,215
BA06,2023,V,240,343,943,154,11.4,1662,4,260
BA07,2023,V,132,218,543,91,7.4,977,3,142
BA08,2023,V,256,363,991,164,12.9,1764,7,280
BA09,2023,V,272,413,1126,188,13.3,1987,6,292
BA10,2023,V,159,242,638,112,10.4,1147,5,176
BA11,2023,V,272,410,1088,182,13.9,1946,7,295
BA12,2023,V,257,369,1012,167,14.1,1796,7,276
BA13,2023,V,106,173,453,75,6.5,812,2,113
BA14,2023,V,231,161,979,128,12.8,1499,4,247
BA15,2023,V,254,255,900,77,12,1526,6,277
BA16,2023,V,200,204,987,154,11.9,1545,5,213
BA01,2023,O,249,343,984,157,13.8,1730,7,316
BA02,2023,O,199,177,663,94,10.6,1156,5,250
BA03,2023,O,217,333,904,150,12,1607,6,280
BA04,2023,O,179,259,683,120,9.8,1243,5,224
BA05,2023,O,207,302,809,134,10.1,1451,5,263
BA06,2023,O,235,338,950,159,12.5,1681,4,296
BA07,2023,O,135,220,542,90,7.4,983,3,170
BA08,2023,O,253,365,989,167,13.9,1764,4,323
BA09,2023,O,269,415,1132,187,13.3,1989,6,343
BA10,2023,O,161,244,637,117,9.4,1165,3,208
BA11,2023,O,276,410,1087,178,13.9,1949,4,353
BA12,2023,O,266,371,1010,165,12.1,1797,4,339
BA13,2023,O,113,173,455,75,8.6,829,4,147
BA14,2023,O,229,166,986,128,13.9,1528,4,292
BA15,2023,O,260,263,897,82,12,1528,4,328
BA16,2023,O,201,204,990,154,11.9,1539,3,262
BA01,2023,I,252,344,986,156,12.9,1728,3,395
BA02,2023,I,199,178,662,94,9.6,1144,4,309
BA03,2023,I,215,334,904,151,13,1604,3,340
BA04,2023,I,178,258,686,119,9.9,1249,3,279
BA05,2023,I,206,303,809,135,11.1,1448,3,323
BA06,2023,I,233,337,949,160,12.5,1662,3,371
BA07,2023,I,134,219,545,90,8.5,992,2,213
BA08,2023,I,254,366,991,168,11.9,1764,6,392
BA09,2023,I,270,418,1135,187,14.4,2001,5,421
BA10,2023,I,159,242,638,118,8.4,1159,5,254
